site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu _latitude(deg) _longitude(deg) __height(m)
S062 13APR01 2013.2485 56383 1734 1 141.4 -69 -0.510564 4517751 0.069350 49 0.257431 0.0000 0.000706 0.000967 0.003061 -0.100055 0.103936 -0.092975 40.7944905295 -218.6008236242 49.25743
S062 13APR02 2013.2512 56384 1734 2 141.4 -69 -0.512843 4517751 0.069821 49 0.263029 0.0000 0.000700 0.000961 0.002991 -0.140734 0.091409 -0.091316 40.7944905338 -218.6008236512 49.26303
S062 13APR03 2013.2539 56385 1734 3 141.4 -69 -0.512902 4517751 0.069863 49 0.266428 0.0000 0.000708 0.000973 0.003074 -0.111952 0.100849 -0.120186 40.7944905342 -218.6008236519 49.26643
S062 13APR04 2013.2567 56386 1734 4 141.4 -69 -0.513224 4517751 0.068389 49 0.262331 0.0000 0.000743 0.001021 0.003156 -0.088810 0.090552 -0.135686 40.7944905209 -218.6008236557 49.26233
S062 13APR05 2013.2594 56387 1734 5 141.4 -69 -0.512945 4517751 0.069448 49 0.258322 0.0000 0.000693 0.000952 0.002962 -0.112196 0.095541 -0.107199 40.7944905304 -218.6008236524 49.25832
S062 13APR06 2013.2621 56388 1734 6 141.4 -69 -0.510398 4517751 0.070188 49 0.263993 0.0000 0.000702 0.000957 0.003003 -0.115373 0.109914 -0.079882 40.7944905371 -218.6008236223 49.26399
S062 13APR07 2013.2649 56389 1735 0 141.4 -69 -0.510708 4517751 0.068611 49 0.265938 0.0000 0.000692 0.000947 0.002959 -0.102308 0.146807 -0.133805 40.7944905229 -218.6008236259 49.26594
S062 13APR08 2013.2676 56390 1735 1 141.4 -69 -0.512287 4517751 0.069671 49 0.258161 0.0000 0.000716 0.000970 0.003113 -0.090889 0.131586 -0.138628 40.7944905324 -218.6008236446 49.25816
S062 13APR09 2013.2704 56391 1735 2 141.4 -69 -0.512068 4517751 0.067957 49 0.258751 0.0000 0.000707 0.000965 0.003053 -0.116910 0.150145 -0.094944 40.7944905170 -218.6008236420 49.25875
S062 13APR10 2013.2731 56392 1735 3 141.4 -69 -0.511883 4517751 0.065711 49 0.252669 0.0000 0.000706 0.000965 0.003010 -0.112930 0.137246 -0.132204 40.7944904968 -218.6008236399 49.25267
S062 13APR11 2013.2758 56393 1735 4 141.4 -69 -0.511158 4517751 0.067360 49 0.255518 0.0000 0.000723 0.000988 0.003114 -0.091119 0.133705 -0.154607 40.7944905116 -218.6008236313 49.25552
S062 13APR12 2013.2786 56394 1735 5 141.4 -69 -0.512187 4517751 0.067469 49 0.260107 0.0000 0.000733 0.000982 0.003144 -0.124733 0.144835 -0.154924 40.7944905126 -218.6008236435 49.26011
S062 13APR13 2013.2813 56395 1735 6 141.4 -69 -0.510577 4517751 0.067568 49 0.261625 0.0000 0.000705 0.000969 0.003037 -0.107947 0.134236 -0.101026 40.7944905135 -218.6008236244 49.26163
S062 13APR14 2013.2841 56396 1736 0 141.4 -69 -0.513454 4517751 0.067136 49 0.262680 0.0000 0.000711 0.000969 0.003060 -0.124326 0.143093 -0.125776 40.7944905096 -218.6008236585 49.26268
S062 13APR15 2013.2868 56397 1736 1 141.4 -69 -0.511817 4517751 0.067369 49 0.261624 0.0000 0.000705 0.000943 0.002983 -0.116552 0.079324 -0.066701 40.7944905117 -218.6008236391 49.26162
S062 13APR16 2013.2895 56398 1736 2 141.4 -69 -0.512227 4517751 0.067158 49 0.262518 0.0000 0.000723 0.000988 0.003117 -0.117375 0.148997 -0.081569 40.7944905098 -218.6008236439 49.26252
S062 13APR17 2013.2923 56399 1736 3 141.4 -69 -0.511757 4517751 0.066249 49 0.258087 0.0000 0.000707 0.000983 0.003019 -0.084685 0.077949 -0.073754 40.7944905016 -218.6008236384 49.25809
S062 13APR18 2013.2950 56400 1736 4 141.4 -69 -0.511569 4517751 0.066509 49 0.257127 0.0000 0.000764 0.001037 0.003234 -0.107202 0.167588 -0.080623 40.7944905040 -218.6008236361 49.25713
S062 13APR19 2013.2977 56401 1736 5 141.4 -69 -0.510220 4517751 0.066640 49 0.259438 0.0000 0.000737 0.001017 0.003117 -0.073966 0.094367 -0.084562 40.7944905051 -218.6008236201 49.25944
S062 13APR20 2013.3005 56402 1736 6 141.4 -69 -0.512513 4517751 0.067642 49 0.254007 0.0000 0.000716 0.000957 0.003047 -0.108955 0.148320 -0.110910 40.7944905142 -218.6008236473 49.25401
S062 13APR21 2013.3032 56403 1737 0 141.4 -69 -0.511130 4517751 0.066522 49 0.261148 0.0000 0.000702 0.000962 0.002982 -0.120011 0.140642 -0.104025 40.7944905041 -218.6008236309 49.26115
S062 13APR22 2013.3060 56404 1737 1 141.4 -69 -0.511085 4517751 0.064748 49 0.259472 0.0000 0.000699 0.000958 0.002969 -0.094121 0.108654 -0.104166 40.7944904881 -218.6008236304 49.25947
S062 13APR23 2013.3087 56405 1737 2 141.4 -69 -0.511209 4517751 0.065666 49 0.259419 0.0000 0.000693 0.000959 0.002958 -0.112010 0.079457 -0.099702 40.7944904964 -218.6008236319 49.25942
S062 13APR24 2013.3114 56406 1737 3 141.4 -69 -0.513850 4517751 0.066392 49 0.259221 0.0000 0.000700 0.000962 0.003005 -0.088126 0.074796 -0.131526 40.7944905029 -218.6008236632 49.25922
S062 13APR25 2013.3142 56407 1737 4 141.4 -69 -0.510423 4517751 0.067050 49 0.263224 0.0000 0.000718 0.000986 0.003182 -0.100026 0.075533 -0.114486 40.7944905088 -218.6008236226 49.26322
S062 13APR26 2013.3169 56408 1737 5 141.4 -69 -0.511121 4517751 0.066220 49 0.263356 0.0000 0.000711 0.000976 0.003043 -0.108897 0.106226 -0.076127 40.7944905014 -218.6008236308 49.26336
S062 13APR27 2013.3196 56409 1737 6 141.4 -69 -0.512421 4517751 0.064598 49 0.253622 0.0000 0.000695 0.000960 0.002975 -0.112872 0.131176 -0.148791 40.7944904867 -218.6008236462 49.25362
S062 13APR28 2013.3224 56410 1738 0 141.4 -69 -0.510038 4517751 0.065411 49 0.259835 0.0000 0.000693 0.000949 0.002941 -0.102795 0.121811 -0.139634 40.7944904941 -218.6008236180 49.25984
S062 13APR29 2013.3251 56411 1738 1 141.4 -69 -0.510917 4517751 0.065946 49 0.260804 0.0000 0.000698 0.000965 0.002980 -0.086532 0.087333 -0.050181 40.7944904989 -218.6008236284 49.26080
S062 13APR30 2013.3279 56412 1738 2 141.4 -69 -0.511977 4517751 0.066161 49 0.263435 0.0000 0.000718 0.001023 0.003100 -0.107341 0.069950 -0.001886 40.7944905008 -218.6008236410 49.26344
S062 13MAY01 2013.3306 56413 1738 3 141.4 -69 -0.510961 4517751 0.065712 49 0.262411 0.0000 0.000691 0.000962 0.002974 -0.096440 0.103041 -0.093603 40.7944904968 -218.6008236289 49.26241
S062 13MAY02 2013.3333 56414 1738 4 141.4 -69 -0.511173 4517751 0.065315 49 0.262907 0.0000 0.000699 0.000982 0.003052 -0.084512 0.094041 -0.112812 40.7944904932 -218.6008236314 49.26291
S062 13MAY03 2013.3361 56415 1738 5 141.4 -69 -0.511446 4517751 0.064513 49 0.260243 0.0000 0.000705 0.000962 0.003013 -0.094033 0.117856 -0.102085 40.7944904860 -218.6008236347 49.26024
S062 13MAY04 2013.3388 56416 1738 6 141.4 -69 -0.511010 4517751 0.064656 49 0.259557 0.0000 0.000705 0.000969 0.003010 -0.114418 0.064499 -0.095056 40.7944904873 -218.6008236295 49.25956
S062 13MAY05 2013.3415 56417 1739 0 141.4 -69 -0.511789 4517751 0.065874 49 0.260307 0.0000 0.000694 0.000974 0.002997 -0.110833 0.073241 -0.109938 40.7944904982 -218.6008236387 49.26031
S062 13MAY06 2013.3443 56418 1739 1 141.4 -69 -0.512127 4517751 0.064464 49 0.258470 0.0000 0.000702 0.000982 0.003006 -0.110458 0.104002 -0.137457 40.7944904855 -218.6008236427 49.25847
S062 13MAY07 2013.3470 56419 1739 2 141.4 -69 -0.511114 4517751 0.063897 49 0.257208 0.0000 0.000748 0.001076 0.003258 -0.066518 0.080080 -0.040234 40.7944904804 -218.6008236307 49.25721
S062 13MAY08 2013.3498 56420 1739 3 141.4 -69 -0.511459 4517751 0.065730 49 0.264152 0.0000 0.000695 0.000968 0.002992 -0.102985 0.054529 -0.080901 40.7944904969 -218.6008236348 49.26415
S062 13MAY09 2013.3525 56421 1739 4 141.4 -69 -0.511877 4517751 0.065489 49 0.261469 0.0000 0.000690 0.000968 0.002943 -0.111677 0.069562 -0.128974 40.7944904948 -218.6008236398 49.26147
S062 13MAY10 2013.3552 56422 1739 5 141.4 -69 -0.510568 4517751 0.065693 49 0.266543 0.0000 0.000695 0.000983 0.002978 -0.105941 0.101786 -0.142146 40.7944904966 -218.6008236243 49.26654
S062 13MAY11 2013.3580 56423 1739 6 141.4 -69 -0.510135 4517751 0.064608 49 0.261777 0.0000 0.000699 0.000977 0.002999 -0.114793 0.106573 -0.112913 40.7944904868 -218.6008236191 49.26178
S062 13MAY12 2013.3607 56424 1740 0 141.4 -69 -0.511349 4517751 0.064197 49 0.265810 0.0000 0.000739 0.001010 0.003175 -0.083283 0.053552 -0.078681 40.7944904831 -218.6008236335 49.26581
S062 13MAY13 2013.3634 56425 1740 1 141.4 -69 -0.512206 4517751 0.063271 49 0.262638 0.0000 0.000767 0.001056 0.003345 -0.075665 0.096584 -0.018901 40.7944904748 -218.6008236437 49.26264
S062 13MAY14 2013.3662 56426 1740 2 141.4 -69 -0.511917 4517751 0.063575 49 0.258300 0.0000 0.000705 0.000969 0.003019 -0.127950 0.126671 -0.108811 40.7944904775 -218.6008236402 49.25830
S062 13MAY15 2013.3689 56427 1740 3 141.4 -69 -0.511030 4517751 0.064403 49 0.262743 0.0000 0.000706 0.000978 0.003040 -0.132223 0.068269 -0.091297 40.7944904850 -218.6008236297 49.26274
S062 13MAY16 2013.3717 56428 1740 4 141.4 -69 -0.509535 4517751 0.062090 49 0.266230 0.0000 0.000720 0.001024 0.003195 -0.103290 0.068148 -0.114892 40.7944904642 -218.6008236120 49.26623
S062 13MAY17 2013.3744 56429 1740 5 141.4 -69 -0.512112 4517751 0.064596 49 0.259449 0.0000 0.000761 0.001064 0.003361 -0.141382 0.084027 -0.093171 40.7944904867 -218.6008236426 49.25945
S062 13MAY18 2013.3771 56430 1740 6 141.4 -69 -0.509966 4517751 0.063881 49 0.275536 0.0000 0.000732 0.001040 0.003252 -0.116231 -0.032384 0.000520 40.7944904803 -218.6008236171 49.27554
S062 13MAY19 2013.3799 56431 1741 0 141.4 -69 -0.509722 4517751 0.064200 49 0.265702 0.0000 0.000749 0.001009 0.003296 -0.111090 0.062213 -0.073311 40.7944904832 -218.6008236142 49.26570
S062 13MAY20 2013.3826 56432 1741 1 141.4 -69 -0.510625 4517751 0.063803 49 0.269852 0.0000 0.000722 0.000988 0.003108 -0.063887 0.105144 -0.107408 40.7944904796 -218.6008236249 49.26985
S062 13MAY21 2013.3854 56433 1741 2 141.4 -69 -0.510040 4517751 0.063937 49 0.271040 0.0000 0.000743 0.001001 0.003201 -0.127233 0.102331 -0.100780 40.7944904808 -218.6008236180 49.27104
S062 13MAY22 2013.3881 56434 1741 3 141.4 -69 -0.507792 4517751 0.062297 49 0.265229 0.0000 0.000715 0.001000 0.003144 -0.106322 0.096901 -0.108902 40.7944904660 -218.6008235914 49.26523
S062 13MAY23 2013.3908 56435 1741 4 141.4 -69 -0.509955 4517751 0.062034 49 0.265038 0.0000 0.000703 0.000986 0.003019 -0.105245 0.136471 -0.108907 40.7944904637 -218.6008236170 49.26504
S062 13MAY24 2013.3936 56436 1741 5 141.4 -69 -0.510755 4517751 0.060690 49 0.262245 0.0000 0.000726 0.001002 0.003153 -0.161612 0.092729 -0.062563 40.7944904516 -218.6008236265 49.26224
S062 13MAY25 2013.3963 56437 1741 6 141.4 -69 -0.509609 4517751 0.061248 49 0.266847 0.0000 0.000699 0.000960 0.002968 -0.114059 0.050915 -0.070956 40.7944904566 -218.6008236129 49.26685
S062 13MAY26 2013.3990 56438 1742 0 141.4 -69 -0.510445 4517751 0.060506 49 0.261360 0.0000 0.000699 0.000964 0.003002 -0.101728 0.080377 -0.103925 40.7944904499 -218.6008236228 49.26136
S062 13MAY27 2013.4018 56439 1742 1 141.4 -69 -0.510632 4517751 0.061281 49 0.262393 0.0000 0.000705 0.000980 0.003041 -0.126006 0.042688 -0.045160 40.7944904569 -218.6008236250 49.26239
S062 13MAY28 2013.4045 56440 1742 2 141.4 -69 -0.509289 4517751 0.060479 49 0.266113 0.0000 0.000694 0.000940 0.002938 -0.127972 0.088856 -0.102999 40.7944904497 -218.6008236091 49.26611
S062 13MAY29 2013.4073 56441 1742 3 141.4 -69 -0.508412 4517751 0.060197 49 0.269645 0.0000 0.000696 0.000944 0.002976 -0.104751 0.092265 -0.118431 40.7944904471 -218.6008235987 49.26964
S062 13MAY30 2013.4100 56442 1742 4 141.4 -69 -0.510431 4517751 0.060940 49 0.266533 0.0000 0.000702 0.000975 0.003049 -0.127381 0.118338 -0.120401 40.7944904538 -218.6008236226 49.26653
S062 13MAY31 2013.4127 56443 1742 5 141.4 -69 -0.508967 4517751 0.061221 49 0.274803 0.0000 0.000775 0.001073 0.003460 -0.155388 0.012961 0.022261 40.7944904563 -218.6008236053 49.27480
S062 13JUN01 2013.4155 56444 1742 6 141.4 -69 -0.509059 4517751 0.062504 49 0.270693 0.0000 0.000749 0.001074 0.003363 -0.109174 0.084249 -0.081645 40.7944904679 -218.6008236064 49.27069
S062 13JUN02 2013.4182 56445 1743 0 141.4 -69 -0.507788 4517751 0.060132 49 0.271110 0.0000 0.000711 0.000977 0.003005 -0.143923 0.107508 -0.111053 40.7944904465 -218.6008235913 49.27111
S062 13JUN03 2013.4209 56446 1743 1 141.4 -69 -0.510334 4517751 0.062210 49 0.263256 0.0000 0.000706 0.000948 0.002973 -0.119358 0.097351 -0.107745 40.7944904652 -218.6008236215 49.26326
S062 13JUN04 2013.4237 56447 1743 2 141.4 -69 -0.509517 4517751 0.059794 49 0.265806 0.0000 0.000710 0.000979 0.002985 -0.112915 0.117689 -0.121564 40.7944904435 -218.6008236118 49.26581
S062 13JUN05 2013.4264 56448 1743 3 141.4 -69 -0.509341 4517751 0.059086 49 0.267098 0.0000 0.000765 0.001051 0.003319 -0.077364 0.130951 -0.052590 40.7944904371 -218.6008236097 49.26710
S062 13JUN06 2013.4292 56449 1743 4 141.4 -69 -0.508876 4517751 0.060540 49 0.266561 0.0000 0.000750 0.001058 0.003289 -0.160420 0.075721 0.025104 40.7944904502 -218.6008236042 49.26656
S062 13JUN07 2013.4319 56450 1743 5 141.4 -69 -0.507902 4517751 0.058749 49 0.267170 0.0000 0.000712 0.000954 0.003052 -0.112885 0.111371 -0.189163 40.7944904341 -218.6008235927 49.26717
S062 13JUN08 2013.4346 56451 1743 6 141.4 -69 -0.509258 4517751 0.059462 49 0.268786 0.0000 0.000762 0.001035 0.003287 -0.096528 0.048729 -0.074538 40.7944904405 -218.6008236087 49.26879
S062 13JUN09 2013.4374 56452 1744 0 141.4 -69 -0.509016 4517751 0.060536 49 0.269285 0.0000 0.000728 0.000987 0.003132 -0.105625 0.068943 -0.075700 40.7944904502 -218.6008236059 49.26929
S062 13JUN10 2013.4401 56453 1744 1 141.4 -69 -0.508426 4517751 0.058942 49 0.266354 0.0000 0.000708 0.000960 0.003045 -0.115878 0.111299 -0.137814 40.7944904358 -218.6008235989 49.26635
S062 13JUN11 2013.4428 56454 1744 2 141.4 -69 -0.509313 4517751 0.058551 49 0.271411 0.0000 0.000737 0.000970 0.003134 -0.127987 0.123088 -0.117683 40.7944904323 -218.6008236094 49.27141
S062 13JUN12 2013.4456 56455 1744 3 141.4 -69 -0.507746 4517751 0.059791 49 0.271352 0.0000 0.000715 0.000985 0.003076 -0.134232 0.112037 -0.112044 40.7944904435 -218.6008235908 49.27135
S062 13JUN13 2013.4483 56456 1744 4 141.4 -69 -0.508897 4517751 0.060344 49 0.276543 0.0000 0.000736 0.000968 0.003126 -0.154772 0.148999 -0.146387 40.7944904484 -218.6008236045 49.27654
S062 13JUN14 2013.4511 56457 1744 5 141.4 -69 -0.509494 4517751 0.060236 49 0.275039 0.0000 0.000773 0.001048 0.003431 -0.139739 0.091054 -0.043171 40.7944904475 -218.6008236115 49.27504
S062 13JUN15 2013.4538 56458 1744 6 141.4 -69 -0.509391 4517751 0.058998 49 0.273037 0.0000 0.000747 0.000990 0.003241 -0.144605 0.149190 -0.149126 40.7944904363 -218.6008236103 49.27304
S062 13JUN16 2013.4565 56459 1745 0 141.4 -69 -0.507036 4517751 0.059261 49 0.276972 0.0000 0.000759 0.001012 0.003282 -0.146896 0.158465 -0.082003 40.7944904387 -218.6008235824 49.27697
S062 13JUN17 2013.4593 56460 1745 1 141.4 -69 -0.508853 4517751 0.059225 49 0.269902 0.0000 0.000738 0.001043 0.003296 -0.134261 0.066958 -0.037055 40.7944904384 -218.6008236040 49.26990
S062 13JUN18 2013.4620 56461 1745 2 141.4 -69 -0.508535 4517751 0.061585 49 0.279639 0.0000 0.000795 0.001033 0.003499 -0.116394 0.227681 -0.078090 40.7944904596 -218.6008236002 49.27964
S062 13JUN19 2013.4648 56462 1745 3 141.4 -69 -0.509490 4517751 0.059242 49 0.272113 0.0000 0.000732 0.000996 0.003178 -0.107826 0.101057 -0.168581 40.7944904385 -218.6008236115 49.27211
S062 13JUN20 2013.4675 56463 1745 4 141.4 -69 -0.508475 4517751 0.059095 49 0.272236 0.0000 0.000727 0.000964 0.003109 -0.125357 0.135709 -0.126013 40.7944904372 -218.6008235995 49.27224
S062 13JUN21 2013.4702 56464 1745 5 141.4 -69 -0.507915 4517751 0.058231 49 0.274872 0.0000 0.000728 0.000981 0.003133 -0.117012 0.139975 -0.102440 40.7944904294 -218.6008235928 49.27487
S062 13JUN22 2013.4730 56465 1745 6 141.4 -69 -0.508123 4517751 0.057807 49 0.271053 0.0000 0.000723 0.000981 0.003098 -0.135932 0.086195 -0.090182 40.7944904256 -218.6008235953 49.27105
S062 13JUN23 2013.4757 56466 1746 0 141.4 -69 -0.507249 4517751 0.060250 49 0.266741 0.0000 0.000709 0.000971 0.003079 -0.133592 0.166062 -0.123182 40.7944904476 -218.6008235849 49.26674
S062 13JUN24 2013.4784 56467 1746 1 141.4 -69 -0.508076 4517751 0.059055 49 0.266580 0.0000 0.000709 0.000966 0.003063 -0.151040 0.072275 -0.087359 40.7944904368 -218.6008235947 49.26658
S062 13JUN25 2013.4812 56468 1746 2 141.4 -69 -0.507572 4517751 0.056929 49 0.267525 0.0000 0.000762 0.001030 0.003343 -0.167177 0.121908 -0.110800 40.7944904177 -218.6008235888 49.26752
S062 13JUN26 2013.4839 56469 1746 3 141.4 -69 -0.507658 4517751 0.057736 49 0.269528 0.0000 0.000775 0.001068 0.003370 -0.167436 0.065705 -0.084723 40.7944904250 -218.6008235898 49.26953
S062 13JUN27 2013.4867 56470 1746 4 141.4 -69 -0.506949 4517751 0.056022 49 0.271973 0.0000 0.000728 0.000990 0.003216 -0.164028 0.112827 -0.107966 40.7944904095 -218.6008235814 49.27197
S062 13JUN28 2013.4894 56471 1746 5 141.4 -69 -0.507947 4517751 0.058813 49 0.261633 0.0000 0.000745 0.001017 0.003332 -0.152724 0.141215 -0.068142 40.7944904347 -218.6008235932 49.26163
S062 13JUN29 2013.4921 56472 1746 6 141.4 -69 -0.507365 4517751 0.058602 49 0.267089 0.0000 0.000762 0.001068 0.003414 -0.115669 0.198672 -0.089038 40.7944904328 -218.6008235863 49.26709
S062 13JUN30 2013.4949 56473 1747 0 141.4 -69 -0.506702 4517751 0.058349 49 0.269469 0.0000 0.000689 0.000950 0.002979 -0.141133 0.085987 -0.094867 40.7944904305 -218.6008235785 49.26947
S062 13JUL01 2013.4976 56474 1747 1 141.4 -69 -0.506438 4517751 0.056925 49 0.266653 0.0000 0.000700 0.000986 0.003034 -0.160863 0.128759 -0.083648 40.7944904177 -218.6008235753 49.26665
S062 13JUL02 2013.5003 56475 1747 2 141.4 -69 -0.505278 4517751 0.056408 49 0.266024 0.0000 0.000724 0.000979 0.003144 -0.140047 0.166290 -0.098198 40.7944904130 -218.6008235616 49.26602
S062 13JUL03 2013.5031 56476 1747 3 141.4 -69 -0.507674 4517751 0.057800 49 0.269428 0.0000 0.000734 0.001028 0.003223 -0.114699 0.154584 -0.090879 40.7944904255 -218.6008235900 49.26943
S062 13JUL04 2013.5058 56477 1747 4 141.4 -69 -0.507338 4517751 0.059161 49 0.270470 0.0000 0.000768 0.001081 0.003513 -0.174233 0.140767 -0.081595 40.7944904378 -218.6008235860 49.27047
S062 13JUL05 2013.5086 56478 1747 5 141.4 -69 -0.507418 4517751 0.057631 49 0.271903 0.0000 0.000728 0.000994 0.003215 -0.166135 0.207359 -0.141349 40.7944904240 -218.6008235869 49.27190
S062 13JUL06 2013.5113 56479 1747 6 141.4 -69 -0.507160 4517751 0.056343 49 0.270665 0.0000 0.000750 0.001041 0.003401 -0.152649 0.174313 -0.138676 40.7944904124 -218.6008235839 49.27067
S062 13JUL07 2013.5140 56480 1748 0 141.4 -69 -0.508414 4517751 0.058403 49 0.276488 0.0000 0.000713 0.000974 0.003138 -0.159034 0.164245 -0.202979 40.7944904310 -218.6008235987 49.27649
S062 13JUL08 2013.5168 56481 1748 1 141.4 -69 -0.504386 4517751 0.057343 49 0.268190 0.0000 0.000713 0.000979 0.003090 -0.154370 0.131037 -0.106782 40.7944904214 -218.6008235510 49.26819
S062 13JUL09 2013.5195 56482 1748 2 141.4 -69 -0.506253 4517751 0.056707 49 0.274682 0.0000 0.000759 0.001022 0.003298 -0.156902 0.164127 -0.165078 40.7944904157 -218.6008235731 49.27468
S062 13JUL10 2013.5222 56483 1748 3 141.4 -69 -0.504630 4517751 0.057749 49 0.273581 0.0000 0.000718 0.000989 0.003081 -0.134499 0.104882 -0.079708 40.7944904251 -218.6008235539 49.27358
S062 13JUL11 2013.5250 56484 1748 4 141.4 -69 -0.505518 4517751 0.057251 49 0.267254 0.0000 0.000726 0.001017 0.003189 -0.091870 0.079163 -0.143575 40.7944904206 -218.6008235644 49.26725
S062 13JUL12 2013.5277 56485 1748 5 141.4 -69 -0.506553 4517751 0.058365 49 0.267957 0.0000 0.000709 0.000974 0.003079 -0.146479 0.120387 -0.137711 40.7944904306 -218.6008235767 49.26796
S062 13JUL13 2013.5305 56486 1748 6 141.4 -69 -0.505993 4517751 0.057904 49 0.269241 0.0000 0.000751 0.001056 0.003415 -0.105265 0.082283 -0.169474 40.7944904265 -218.6008235701 49.26924
S062 13JUL14 2013.5332 56487 1749 0 141.4 -69 -0.504239 4517751 0.058189 49 0.273035 0.0000 0.000713 0.000981 0.003140 -0.133278 0.140106 -0.160731 40.7944904290 -218.6008235493 49.27303
S062 13JUL15 2013.5359 56488 1749 1 141.4 -69 -0.505741 4517751 0.056491 49 0.265617 0.0000 0.000696 0.000951 0.003014 -0.133752 0.114044 -0.116666 40.7944904137 -218.6008235671 49.26562
S062 13JUL16 2013.5387 56489 1749 2 141.4 -69 -0.505337 4517751 0.056705 49 0.266245 0.0000 0.000714 0.000972 0.003080 -0.123524 0.147269 -0.058876 40.7944904157 -218.6008235623 49.26624
S062 13JUL17 2013.5414 56490 1749 3 141.4 -69 -0.504740 4517751 0.055929 49 0.269442 0.0000 0.000739 0.001003 0.003215 -0.186502 0.116752 -0.192043 40.7944904087 -218.6008235552 49.26944
S062 13JUL18 2013.5441 56491 1749 4 141.4 -69 -0.504056 4517751 0.056509 49 0.269395 0.0000 0.000697 0.000974 0.003143 -0.167639 0.161069 -0.207975 40.7944904139 -218.6008235471 49.26940
S062 13JUL19 2013.5469 56492 1749 5 141.4 -69 -0.505306 4517751 0.057430 49 0.267701 0.0000 0.000710 0.000970 0.003108 -0.148481 0.133176 -0.103225 40.7944904222 -218.6008235619 49.26770
S062 13JUL20 2013.5496 56493 1749 6 141.4 -69 -0.504287 4517751 0.055811 49 0.277262 0.0000 0.000722 0.000989 0.003172 -0.145662 0.145569 -0.061260 40.7944904076 -218.6008235498 49.27726
S062 13JUL21 2013.5524 56494 1750 0 141.4 -69 -0.502255 4517751 0.056775 49 0.268732 0.0000 0.000840 0.001115 0.003680 -0.174715 0.127012 -0.040244 40.7944904163 -218.6008235258 49.26873
S062 13JUL22 2013.5551 56495 1750 1 141.4 -69 -0.504512 4517751 0.058296 49 0.272713 0.0000 0.000842 0.001162 0.003722 -0.174020 0.103039 -0.039225 40.7944904300 -218.6008235525 49.27271
S062 13JUL23 2013.5578 56496 1750 2 141.4 -69 -0.502720 4517751 0.057760 49 0.275848 0.0000 0.000811 0.001093 0.003535 -0.150725 0.084148 -0.095023 40.7944904252 -218.6008235313 49.27585
S062 13JUL24 2013.5606 56497 1750 3 141.4 -69 -0.506520 4517751 0.055789 49 0.271342 0.0000 0.000767 0.001020 0.003461 -0.165719 0.098593 -0.089155 40.7944904074 -218.6008235763 49.27134
S062 13JUL25 2013.5633 56498 1750 4 141.4 -69 -0.503876 4517751 0.057338 49 0.263175 0.0000 0.000893 0.001229 0.003994 -0.192559 0.156676 -0.123371 40.7944904214 -218.6008235450 49.26318
S062 13JUL26 2013.5661 56499 1750 5 141.4 -69 -0.505866 4517751 0.056452 49 0.271631 0.0000 0.000748 0.001037 0.003363 -0.150594 0.083147 -0.113849 40.7944904134 -218.6008235686 49.27163
S062 13JUL27 2013.5688 56500 1750 6 141.4 -69 -0.504081 4517751 0.057147 49 0.269852 0.0000 0.000746 0.001014 0.003299 -0.160439 0.218799 -0.125166 40.7944904197 -218.6008235474 49.26985
S062 13JUL28 2013.5715 56501 1751 0 141.4 -69 -0.503310 4517751 0.054662 49 0.273152 0.0000 0.000775 0.001086 0.003513 -0.154485 0.085351 -0.142887 40.7944903973 -218.6008235383 49.27315
S062 13JUL29 2013.5743 56502 1751 1 141.4 -69 -0.502197 4517751 0.054395 49 0.269574 0.0000 0.000727 0.000975 0.003139 -0.144393 0.146487 -0.150077 40.7944903949 -218.6008235251 49.26957
S062 13JUL30 2013.5770 56503 1751 2 141.4 -69 -0.501714 4517751 0.056474 49 0.267138 0.0000 0.000720 0.001004 0.003157 -0.164570 0.099260 -0.099369 40.7944904136 -218.6008235194 49.26714
S062 13JUL31 2013.5797 56504 1751 3 141.4 -69 -0.503009 4517751 0.057501 49 0.273068 0.0000 0.000752 0.001031 0.003350 -0.132353 0.166793 -0.098365 40.7944904228 -218.6008235347 49.27307
S062 13AUG01 2013.5825 56505 1751 4 141.4 -69 -0.502342 4517751 0.055749 49 0.267176 0.0000 0.000709 0.000975 0.003076 -0.141386 0.132898 -0.100856 40.7944904071 -218.6008235268 49.26718
S062 13AUG02 2013.5852 56506 1751 5 141.4 -69 -0.503257 4517751 0.057278 49 0.270001 0.0000 0.000723 0.001006 0.003204 -0.129463 0.063935 -0.149348 40.7944904208 -218.6008235376 49.27000
S062 13AUG03 2013.5880 56507 1751 6 141.4 -69 -0.504450 4517751 0.054464 49 0.269542 0.0000 0.000739 0.001000 0.003315 -0.145821 0.116941 -0.167607 40.7944903955 -218.6008235518 49.26954
S062 13AUG04 2013.5907 56508 1752 0 141.4 -69 -0.501462 4517751 0.055322 49 0.268099 0.0000 0.000728 0.000988 0.003163 -0.125311 0.137249 -0.134993 40.7944904032 -218.6008235164 49.26810
S062 13AUG05 2013.5934 56509 1752 1 141.4 -69 -0.503607 4517751 0.054989 49 0.269691 0.0000 0.000721 0.000969 0.003108 -0.150694 0.149621 -0.163769 40.7944904002 -218.6008235418 49.26969
